Variável,Comunalidade
Preço da passagem,0.7132988309188735
Espaço disponível é suficiente para os passageiros sentados ou em pé,0.647857231614894
Temperatura interna ,0.8410311247932237
Tempo total de viagem  ,0.654242810382177
Frequência com que os veículos passam ao longo dia ,0.654899064362044
Velocidade dos veículos  ,0.7425309346655127
Segurança dentro dos veículos e nos pontos de ônibus/estações ,0.682701921280329
"Informação de linhas, horários e itinerários  ",0.8967767203038587
Locais atendidos pelo transporte público ,0.8853716075268079
Confiabilidade nos horários ,0.6008158095542089
Facilidade de entrada e saída dos veículos e/ou estações e pontos de ônibus  ,0.8942095398606567
Limpeza dentro do veículo e nos pontos de ônibus e estações,0.763683612853769
