,Preço da passagem,Espaço disponível é suficiente para os passageiros sentados ou em pé,Temperatura interna ,Tempo total de viagem  ,Frequência com que os veículos passam ao longo dia ,Velocidade dos veículos  ,Segurança dentro dos veículos e nos pontos de ônibus/estações ,"Informação de linhas, horários e itinerários  ",Locais atendidos pelo transporte público ,Confiabilidade nos horários ,Facilidade de entrada e saída dos veículos e/ou estações e pontos de ônibus  ,Limpeza dentro do veículo e nos pontos de ônibus e estações
Preço da passagem,1.0,0.24122337884487066,0.20111695775229002,0.598295021390211,0.5695942857809846,0.6159871420553342,0.678200009820699,0.2186227693494143,0.2711867622838644,0.49932425984394735,0.20718015456663333,0.2857426367670966
Espaço disponível é suficiente para os passageiros sentados ou em pé,0.24122337884487066,1.0,0.7458100344039243,0.23932824315115736,0.3551701036237353,0.23764694596393707,0.2068656804869584,0.7184408185444208,0.6852189085353376,0.3591959493943286,0.6944063774425893,0.6027047929580956
Temperatura interna ,0.20111695775229002,0.7458100344039243,1.0,0.30373451355710884,0.435507094533232,0.3470976658313644,0.23759736832111986,0.8533721171540086,0.8243503713805842,0.4891196897792851,0.8248429724880636,0.7410250297797362
Tempo total de viagem  ,0.598295021390211,0.23932824315115736,0.30373451355710884,1.0,0.5919974207726666,0.6517316718143745,0.5536820190076949,0.29779452306426407,0.3248076719908606,0.4827626356283267,0.2575714668867077,0.31769072492072026
Frequência com que os veículos passam ao longo dia ,0.5695942857809846,0.3551701036237353,0.435507094533232,0.5919974207726666,1.0,0.6273690311864965,0.503102460991845,0.4501519274217867,0.48852160293816654,0.6182097124684799,0.4424259033267887,0.4570444339284287
Velocidade dos veículos  ,0.6159871420553342,0.23764694596393707,0.3470976658313644,0.6517316718143745,0.6273690311864965,1.0,0.6716256431136011,0.32561477325303884,0.3562048259718763,0.5671041952472976,0.3435781646916792,0.3761569665532824
Segurança dentro dos veículos e nos pontos de ônibus/estações ,0.678200009820699,0.2068656804869584,0.23759736832111986,0.5536820190076949,0.503102460991845,0.6716256431136011,1.0,0.22065676741894402,0.25644071514612926,0.4645514288719114,0.25610075808544086,0.28717884520738013
"Informação de linhas, horários e itinerários  ",0.2186227693494143,0.7184408185444208,0.8533721171540086,0.29779452306426407,0.4501519274217867,0.32561477325303884,0.22065676741894402,1.0,0.8917407212230961,0.5144835233268038,0.8976428592625931,0.7708608202830932
Locais atendidos pelo transporte público ,0.2711867622838644,0.6852189085353376,0.8243503713805842,0.3248076719908606,0.48852160293816654,0.3562048259718763,0.25644071514612926,0.8917407212230961,1.0,0.5390574615155008,0.8973520905128841,0.8030083831026706
Confiabilidade nos horários ,0.49932425984394735,0.3591959493943286,0.4891196897792851,0.4827626356283267,0.6182097124684799,0.5671041952472976,0.4645514288719114,0.5144835233268038,0.5390574615155008,1.0,0.5106899738038981,0.5670266655963381
Facilidade de entrada e saída dos veículos e/ou estações e pontos de ônibus  ,0.20718015456663333,0.6944063774425893,0.8248429724880636,0.2575714668867077,0.4424259033267887,0.3435781646916792,0.25610075808544086,0.8976428592625931,0.8973520905128841,0.5106899738038981,1.0,0.8172680682140486
Limpeza dentro do veículo e nos pontos de ônibus e estações,0.2857426367670966,0.6027047929580956,0.7410250297797362,0.31769072492072026,0.4570444339284287,0.3761569665532824,0.28717884520738013,0.7708608202830932,0.8030083831026706,0.5670266655963381,0.8172680682140486,1.0
