lval,op,rval,Estimate,Std. Err,z-value,p-value
Fator2,~,Fator1,-0.5308413561602261,3.9311487263296887,-0.13503466622991656,0.8925844656493873
X1,~,Fator1,1.0,-,-,-
X2,~,Fator1,-19.487615867081388,48.94778895397644,-0.39813066705432554,0.6905338698718131
X3,~,Fator1,-40.69061026403609,102.0125152412185,-0.3988786098236946,0.6899826509112388
X4,~,Fator1,199.9702309635178,502.9965853518373,0.3975578299873382,0.6909561504364681
X5,~,Fator1,26.07572440422343,65.4318470390634,0.3985173212160065,0.6902488929233557
X6,~,Fator2,1.0,-,-,-
X7,~,Fator2,-28.227992316022284,196.96017880733908,-0.14331827117010273,0.8860388264827888
X8,~,Fator2,-84.53222047697143,589.33807371936,-0.1434358719494935,0.885945954146931
X9,~,Fator2,-53.76010639103141,374.76622323826854,-0.14344971093313205,0.8859350252514726
X10,~,Fator2,-44.426767941586846,309.7236306271148,-0.14344003346348916,0.8859426677218465
Fator1,~~,Fator1,5.549810581125535e-05,0.00027783018136935277,0.1997554957419101,0.8416718090029975
Fator2,~~,Fator2,5.004641056265293e-05,0.0006976378300997215,0.07173695050877942,0.9428112496478795
X1,~~,X1,0.2436025277506198,0.012993299688831547,18.74831902332409,0.0
X10,~~,X10,1.5869714800946517,0.08931374426938343,17.768502407539234,0.0
X2,~~,X2,0.9636543180013566,0.0517578780080286,18.61850514492224,0.0
X3,~~,X3,2.6744466879491733,0.14509226237858758,18.432731312386167,0.0
X4,~~,X4,0.0,0.6402574264328583,0.0,1.0
X5,~~,X5,1.4007467342358852,0.07550213812223995,18.55241148203627,0.0
X6,~~,X6,1.5049384780316981,0.08027223961112011,18.74793185419572,0.0
X7,~~,X7,2.6818603928357514,0.14452761932241953,18.5560407442564,0.0
X8,~~,X8,6.372012512414498,0.3562706025615566,17.8853165728027,0.0
X9,~~,X9,0.12235851639943353,0.03419728495782357,3.578018446398992,0.0003462090229708892
